w,x,y,z
0.889691889,0.129362047,-0.434854865,0.05,1511592005265.88
0.746496677,0.473914236,-0.376650542,0.28,1511592005512.53
0.668500066,0.567049801,-0.344124705,0.34,1511592005880.11
0.668518722,0.567452848,-0.343793035,0.34,1511592005913.68
0.666822672,0.568955898,-0.343046069,0.34,1511592005963.75
0.6670416,0.569149435,-0.342764646,0.34,1511592006013.00
0.666562557,0.569915652,-0.342281193,0.34,1511592006062.00
0.666783035,0.569729447,-0.342293113,0.34,1511592006091.95
0.666783035,0.569729447,-0.342293113,0.34,1511592006091.95
0.666783035,0.569729447,-0.342293113,0.34,1511592006091.95
0.668756008,0.567853689,-0.342868984,0.34,1511592006216.54
0.669402599,0.567329407,-0.34284988,0.34,1511592006262.60
0.669870913,0.566792905,-0.343122154,0.34,1511592006293.61
0.670869052,0.565713465,-0.343431026,0.33,1511592006346.84
0.671786666,0.564600527,-0.343961775,0.33,1511592006396.45
0.673201084,0.563100874,-0.344742417,0.33,1511592006430.05
0.674128056,0.5617342,-0.345582455,0.33,1511592006464.40
0.676058054,0.559105575,-0.347294778,0.33,1511592006495.66
0.682137966,0.552267432,-0.351049393,0.33,1511592006530.36
0.70504719,0.526082098,-0.362745702,0.31,1511592006582.44
0.739439726,0.48109749,-0.381683171,0.28,1511592006630.66
0.769642889,0.43450889,-0.398271561,0.25,1511592006681.76
0.80371213,0.368914008,-0.418862939,0.21,1511592006729.89
0.828545392,0.310631514,-0.433612525,0.17,1511592006781.00
0.852964401,0.235023811,-0.44879654,0.13,1511592006832.15
0.870926023,0.149611548,-0.461903721,0.08,1511592006882.29
0.877761185,0.090437874,-0.468708068,0.04,1511592006932.39
0.881062508,0.021093454,-0.472529083,0,1511592006982.48
0.87986654,-0.033045676,-0.472880721,-0.03,1511592007028.73
0.873876929,-0.09998937,-0.469945371,-0.07,1511592007078.87
0.865601778,-0.150361642,-0.466073483,-0.1,1511592007130.98
0.851326942,-0.213926196,-0.458268464,-0.14,1511592007181.10
0.837094784,-0.262337446,-0.450876892,-0.16,1511592007229.20
